Company_Name,Sector,Funding_round,Amount_raised,Sub-sector,Source Website
Clarify,Healthcare,Series D-1,$165.63MM,Healthcare Software,https://forgeglobal.com/search-companies/?page=152
Clario,Healthcare,--,--,Other Healthcare,https://forgeglobal.com/search-companies/?page=99
Clarity AI,Enterprise Software,Series D-3,$5.72MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=106
Claroty,Enterprise Software,--,--,Cybersecurity,https://forgeglobal.com/search-companies/?page=41
Class Technologies,Education,Series D,$7MM,Education Software,https://forgeglobal.com/search-companies/?page=133
ClassDojo,Consumer & Lifestyle,Series D,$113.5MM,Consumer Applications,https://forgeglobal.com/search-companies/?page=20
ClassPass,Consumer & Lifestyle,Series E,$285MM,Fitness,https://forgeglobal.com/search-companies/?page=65
Clay,Enterprise Software,Series C,$100MM,Business Operations,https://forgeglobal.com/search-companies/?page=27
CleanCapital,Fintech,--,--,Other Fintech,https://forgeglobal.com/search-companies/?page=160
Clear Labs,Healthcare,Series D,$30MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=120
Clear Street,Fintech,Series C,$135.39MM,Capital Markets,https://forgeglobal.com/search-companies/?page=132
Clearbit,Enterprise Software,Series A-5,$15MM,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=156
Clearco,Fintech,--,--,Capital Markets,https://forgeglobal.com/search-companies/?page=126
Clearcover,Fintech,Series A-1,$150.2MM,Insurance,https://forgeglobal.com/search-companies/?page=75
ClearFlame Engines,Industrial,--,--,Other Industrial,https://forgeglobal.com/search-companies/?page=160
ClearMotion,Industrial,Series B+,$15.8MM,Industrial Software,https://forgeglobal.com/search-companies/?page=109
ClearNote Health,Healthcare,Series D,$21.61MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=156
Clearspeed,Enterprise Software,Series D-2,$30MM,Business Operations,https://forgeglobal.com/search-companies/?page=155
Clearview AI,Enterprise Software,Series B,$30MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=28
Cleerly,Healthcare,Series C,$330.08MM,Digital Health,https://forgeglobal.com/search-companies/?page=65
Cleo,Fintech,--,--,Personal Finance,https://forgeglobal.com/search-companies/?page=77
ClevelandDx,Healthcare,Series E-2,$26.99MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=138
Clever,Education,--,--,Education Software,https://forgeglobal.com/search-companies/?page=160
CleverTap,Enterprise Software,Series D,$105MM,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=134
Click Therapeutics,Healthcare,Series C,$40MM,Healthcare Software,https://forgeglobal.com/search-companies/?page=74
ClickHouse,Enterprise Software,Series D,$400MM,Data Management / Storage,https://forgeglobal.com/search-companies/?page=18
Clickup,Enterprise Software,Series C,$401.93MM,Productivity,https://forgeglobal.com/search-companies/?page=12
ClimateAI,Enterprise Software,Series B,$23.5MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=174
Climavision,Consumer & Lifestyle,--,--,Entertainment,https://forgeglobal.com/search-companies/?page=126
Climeworks,Enterprise Software,--,--,Business Operations,https://forgeglobal.com/search-companies/?page=62
Clio,Enterprise Software,--,--,Business Operations,https://forgeglobal.com/search-companies/?page=30
Clipboard Health,Healthcare,Series C,$30MM,Healthcare Software,https://forgeglobal.com/search-companies/?page=58
Clockwise,Enterprise Software,Series C,$52.34MM,Productivity,https://forgeglobal.com/search-companies/?page=154
Clockwork Systems,Enterprise Software,Series A-1,$20MM,Communication & Collaboration Software,https://forgeglobal.com/search-companies/?page=55
Clockworks Analytics,Enterprise Software,--,--,Productivity,https://forgeglobal.com/search-companies/?page=160
Cloud9,Consumer & Lifestyle,Series B,$53.64MM,Gaming,https://forgeglobal.com/search-companies/?page=107
Cloudbeds,Consumer & Lifestyle,Series D,$150MM,Consumer & Lifestyle Enterprise Software,https://forgeglobal.com/search-companies/?page=48
CloudBees,Enterprise Software,Series F,$150MM,Software Development,https://forgeglobal.com/search-companies/?page=53
Cloudflare,Enterprise Software,Series D,$150MM,Cybersecurity,https://forgeglobal.com/search-companies/?page=103
CloudGenix,Enterprise Software,--,--,Cloud / Networking Infrastructure,https://forgeglobal.com/search-companies/?page=160
CloudKitchens,Real Estate,--,--,Real Estate Products & Services,https://forgeglobal.com/search-companies/?page=99
CloudPassage,Enterprise Software,--,--,Cybersecurity,https://forgeglobal.com/search-companies/?page=143
CloudTrucks,Transportation,Series B,$106.5MM,Transportation Software,https://forgeglobal.com/search-companies/?page=169
CloudWalk,Fintech,Series C,$153MM,Payments,https://forgeglobal.com/search-companies/?page=16
CloudZero,Enterprise Software,--,--,Data Intelligence,https://forgeglobal.com/search-companies/?page=99
Clover Health,Healthcare,Series D,$130MM,Healthcare Providers & Services,https://forgeglobal.com/search-companies/?page=132
Clubhouse,Consumer & Lifestyle,Series C,$200MM,Social,https://forgeglobal.com/search-companies/?page=80
Clutch,Fintech,Series B,$44MM,Payments,https://forgeglobal.com/search-companies/?page=83
Clutter,Consumer & Lifestyle,Series D,$200MM,Consumer Applications,https://forgeglobal.com/search-companies/?page=169
CM Holdings USA,Industrial,--,--,Materials,https://forgeglobal.com/search-companies/?page=69
CMR Surgical,Healthcare,--,--,Medical Devices,https://forgeglobal.com/search-companies/?page=62
Coactive AI,Enterprise Software,--,--,Data Intelligence,https://forgeglobal.com/search-companies/?page=86
Coalesce,Enterprise Software,--,--,Data Management / Storage,https://forgeglobal.com/search-companies/?page=126
Coalition,Enterprise Software,Series F,$258.41MM,Cybersecurity,https://forgeglobal.com/search-companies/?page=25
Coast,Fintech,Series B-1,$40MM,Fintech Software,https://forgeglobal.com/search-companies/?page=75
Cobalt Robotics,Transportation,Series C,$30.6MM,Autonomous Vehicles,https://forgeglobal.com/search-companies/?page=60
Cobot,Industrial,Series B,$100MM,Robotics,https://forgeglobal.com/search-companies/?page=119
Cockroach Labs,Enterprise Software,Series F,$278MM,Data Management / Storage,https://forgeglobal.com/search-companies/?page=17
Coco Robotics,Industrial,Series A-7,$2.5MM,Logistics,https://forgeglobal.com/search-companies/?page=21
Coda,Enterprise Software,Series D,$100MM,Productivity,https://forgeglobal.com/search-companies/?page=29
CodaMetrix,Enterprise Software,Series B-1,$11.65MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=154
Codat,Fintech,--,--,Lending,https://forgeglobal.com/search-companies/?page=77
Code Climate,Enterprise Software,Series C,$50MM,Software Development,https://forgeglobal.com/search-companies/?page=173
Code Metal,Enterprise Software,Series B,$125MM,Software Development,https://forgeglobal.com/search-companies/?page=132
Code42 Software,Enterprise Software,Series B,$85.64MM,Cybersecurity,https://forgeglobal.com/search-companies/?page=137
CodeRabbit,Enterprise Software,Series B,$60MM,Software Development,https://forgeglobal.com/search-companies/?page=119
CodeSignal,Enterprise Software,Series C,$50MM,Human Resources,https://forgeglobal.com/search-companies/?page=40
Codiak BioSciences,Healthcare,Series C,$76.37MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=95
Cogito,Enterprise Software,Series C-1,$25MM,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=139
Cognata,Enterprise Software,--,--,Data Intelligence,https://forgeglobal.com/search-companies/?page=86
Cognism,Enterprise Software,--,--,Business Operations,https://forgeglobal.com/search-companies/?page=143
Cognite,Enterprise Software,--,--,Data Management / Storage,https://forgeglobal.com/search-companies/?page=37
Cognition,Enterprise Software,Series C-1,$500MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=7
Cognito Therapeutics,Healthcare,--,--,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=112
Cohere,Enterprise Software,,,Data Intelligence,https://forgeglobal.com/search-companies/?page=5
Cohere Health,Healthcare,Series C,$90MM,Healthcare Software,https://forgeglobal.com/search-companies/?page=39
Cohere Technologies,Technology Hardware,Series D-1,$46MM,Communications Equipment,https://forgeglobal.com/search-companies/?page=54
Coherent Logix,Industrial,--,--,Aerospace & Defense,https://forgeglobal.com/search-companies/?page=86
Cohesity,Enterprise Software,Series H-1,$27.5MM,Data Management / Storage,https://forgeglobal.com/search-companies/?page=2
Cohesity,Enterprise Software,Series H-1,$27.5MM,Data Management / Storage,https://forgeglobal.com/search-companies/?page=2
Coiled,Enterprise Software,--,--,Data Management / Storage,https://forgeglobal.com/search-companies/?page=143
Coinbase,Fintech,Series E,$300MM,Blockchain,https://forgeglobal.com/search-companies/?page=38
CoinList,Fintech,Series A-2,$50MM,Blockchain,https://forgeglobal.com/search-companies/?page=42
Coinsquare,Fintech,--,--,Other Fintech,https://forgeglobal.com/search-companies/?page=143
CoinTracker,Fintech,Series A,$100.12MM,Blockchain,https://forgeglobal.com/search-companies/?page=47
ColdSnap,Foodtech,Series E,$10.67MM,Food Products & Services,https://forgeglobal.com/search-companies/?page=139
Collective Health,Healthcare,Series F,$280MM,Healthcare Providers & Services,https://forgeglobal.com/search-companies/?page=27
Collective Medical,Healthcare,--,--,Other Healthcare,https://forgeglobal.com/search-companies/?page=160
Collibra,Enterprise Software,--,--,Data Intelligence,https://forgeglobal.com/search-companies/?page=17
Color,Healthcare,Series E,$100MM,Healthcare Providers & Services,https://forgeglobal.com/search-companies/?page=20
Colossal Biosciences,Healthcare,Series C,$380MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=13
Colossyan,Enterprise Software,--,--,Productivity,https://forgeglobal.com/search-companies/?page=77
Comanche Biopharma,Healthcare,--,--,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=86
Comau,Consumer & Lifestyle,--,--,Other Consumer & Lifestyle,https://forgeglobal.com/search-companies/?page=86
Comet,Enterprise Software,Series B,$50MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=122
Cometeer,Consumer & Lifestyle,Series C,$67.5MM,Restaurants & Coffee,https://forgeglobal.com/search-companies/?page=73
Comma.ai,Transportation,Series Seed-3,$10MM,Autonomous Vehicles,https://forgeglobal.com/search-companies/?page=16
Commerce.com,Consumer & Lifestyle,--,--,E-commerce Software,https://forgeglobal.com/search-companies/?page=87
CommerceIQ,Consumer & Lifestyle,Series D,$125MM,E-commerce Software,https://forgeglobal.com/search-companies/?page=92
Commercetools,Enterprise Software,--,--,Productivity,https://forgeglobal.com/search-companies/?page=62
Common,Consumer & Lifestyle,Series D-2,$22.72MM,Travel & Hospitality,https://forgeglobal.com/search-companies/?page=75
Commons,Enterprise Software,--,--,Data Intelligence,https://forgeglobal.com/search-companies/?page=143
Commonwealth Fusion,Energy,,,Clean Energy,https://forgeglobal.com/search-companies/?page=4
Commsor,Enterprise Software,Series B,$50MM,Business Operations,https://forgeglobal.com/search-companies/?page=136
Community,Consumer & Lifestyle,Series C-1,$10MM,Social,https://forgeglobal.com/search-companies/?page=85
Commure,Healthcare,Series D-2,$8.85MM,Healthcare Software,https://forgeglobal.com/search-companies/?page=38
CompanyCam,Industrial,Series C,$415MM,Industrial Software,https://forgeglobal.com/search-companies/?page=91
Compass,Real Estate,Series G,$345.12MM,Real Estate Products & Services,https://forgeglobal.com/search-companies/?page=90
Concentric AI,Enterprise Software,Series B,$42.3MM,Data Management / Storage,https://forgeglobal.com/search-companies/?page=139
ConcertAI,Healthcare,--,--,Healthcare Software,https://forgeglobal.com/search-companies/?page=87
Conduktor,Enterprise Software,--,--,Data Management / Storage,https://forgeglobal.com/search-companies/?page=112
Confluent,Enterprise Software,Series E,$250MM,Data Management / Storage,https://forgeglobal.com/search-companies/?page=132
Conformal,Healthcare,Series D,$35MM,Medical Devices,https://forgeglobal.com/search-companies/?page=139
Conga,Enterprise Software,--,--,Other Enterprise Software,https://forgeglobal.com/search-companies/?page=87
ConnectDER,Energy,--,--,Other Energy,https://forgeglobal.com/search-companies/?page=69
Connected Kerb,Transportation,--,--,Electric Vehicles,https://forgeglobal.com/search-companies/?page=112
ConnectRN,Consumer & Lifestyle,Series 1,$28.7MM,Social,https://forgeglobal.com/search-companies/?page=125
ConsenSys,Fintech,Series D,$450MM,Blockchain,https://forgeglobal.com/search-companies/?page=7
Constrafor,Enterprise Software,Series A-1,$9.6MM,Business Operations,https://forgeglobal.com/search-companies/?page=76
Constructor.io,Enterprise Software,--,--,Data Intelligence,https://forgeglobal.com/search-companies/?page=69
Contentful,Consumer & Lifestyle,Series F-3,$3.21MM,Media,https://forgeglobal.com/search-companies/?page=35
ContentSquare,Enterprise Software,--,--,Other Enterprise Software,https://forgeglobal.com/search-companies/?page=23
Contentstack,Enterprise Software,Junior,$35MM,Communication & Collaboration Software,https://forgeglobal.com/search-companies/?page=48
Contextual AI,Enterprise Software,Series A,$80MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=66
Contrast Security,Enterprise Software,Series E,$120.17MM,Cybersecurity,https://forgeglobal.com/search-companies/?page=81
Convergent Therapeutics,Healthcare,Series A-4,$40MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=139
Conviva,Enterprise Software,Series F,$40MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=108
Convoy,Industrial,Series E,$160MM,Logistics,https://forgeglobal.com/search-companies/?page=103
ConXtech,Real Estate,--,--,Other Real Estate,https://forgeglobal.com/search-companies/?page=160
CookUnity,Transportation,Series C-1,$25MM,Delivery Services,https://forgeglobal.com/search-companies/?page=16
Cool Planet,Energy,--,--,Clean Energy,https://forgeglobal.com/search-companies/?page=160
Cooler Heads,Healthcare,Series A-1,$9.2MM,Medical Devices,https://forgeglobal.com/search-companies/?page=141
Copado,Enterprise Software,Series B,$80MM,Software Development,https://forgeglobal.com/search-companies/?page=104
Copper,Enterprise Software,Series 1,$12MM,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=4
Copper Banking,Fintech,Series A,$29MM,Digital Banking,https://forgeglobal.com/search-companies/?page=174
Copy.ai,Enterprise Software,--,--,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=69
Cordial,Enterprise Software,Series C,$50MM,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=156
Cordis,Healthcare,--,--,Medical Devices,https://forgeglobal.com/search-companies/?page=160
CoRegen,Healthcare,Series B-1,$13.5MM,Other Healthcare,https://forgeglobal.com/search-companies/?page=120
Corelight,Enterprise Software,Series E,$150MM,Cybersecurity,https://forgeglobal.com/search-companies/?page=35
Coreshell,Energy,Series B-1,$50MM,Energy Storage,https://forgeglobal.com/search-companies/?page=123
CoreWeave,Enterprise Software,Series C,$1.15B,Cloud / Networking Infrastructure,https://forgeglobal.com/search-companies/?page=9
Cortex,Enterprise Software,Series C,$60MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=11
Corvus Insurance,Enterprise Software,--,--,Data Intelligence,https://forgeglobal.com/search-companies/?page=69
Corwave,Healthcare,--,--,Medical Devices,https://forgeglobal.com/search-companies/?page=126
Coterie Insurance,Fintech,Series C,$92.87MM,Insurance,https://forgeglobal.com/search-companies/?page=83
Cotopaxi,Consumer & Lifestyle,Series C-2,$6.19MM,Clothing  Fashion  Beauty & Apparel,https://forgeglobal.com/search-companies/?page=49
Couchbase,Enterprise Software,Series G,$105MM,Data Management / Storage,https://forgeglobal.com/search-companies/?page=83
CounterTack,Enterprise Software,--,--,Cybersecurity,https://forgeglobal.com/search-companies/?page=143
Coupang,Consumer & Lifestyle,--,--,E-commerce,https://forgeglobal.com/search-companies/?page=87
Cour Pharmaceuticals Development,Healthcare,--,--,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=143
Coursera,Education,Series F,$130MM,E-Learning,https://forgeglobal.com/search-companies/?page=31
Covariant,Industrial,Series C-1,$75MM,Robotics,https://forgeglobal.com/search-companies/?page=19
Cove,Enterprise Software,--,--,Business Operations,https://forgeglobal.com/search-companies/?page=112
Cover Genius,Consumer & Lifestyle,--,--,Other Consumer & Lifestyle,https://forgeglobal.com/search-companies/?page=126
Covera Health,Healthcare,Series C-1,$30MM,Healthcare Software,https://forgeglobal.com/search-companies/?page=40
CradlePoint,Technology Hardware,Series C,$89.16MM,Communications Equipment,https://forgeglobal.com/search-companies/?page=171
Crayon,Enterprise Software,--,--,Data Intelligence,https://forgeglobal.com/search-companies/?page=112
Credit Genie,Fintech,Series B,$33.79MM,Fintech Software,https://forgeglobal.com/search-companies/?page=96
Credit Karma,Fintech,Series D,$154.05MM,Personal Finance,https://forgeglobal.com/search-companies/?page=38
Credit Sesame,Fintech,Series H,$27.25MM,Personal Finance,https://forgeglobal.com/search-companies/?page=55
Credo AI,Enterprise Software,--,--,Data Intelligence,https://forgeglobal.com/search-companies/?page=18
Credy,Fintech,--,--,Other Fintech,https://forgeglobal.com/search-companies/?page=126
Crescendo,Enterprise Software,Series C,$15MM,Communication & Collaboration Software,https://forgeglobal.com/search-companies/?page=106
Cresilon,Healthcare,Series A-5,$41.25MM,Medical Devices,https://forgeglobal.com/search-companies/?page=26
Cresta,Enterprise Software,Series D,$125MM,Business Operations,https://forgeglobal.com/search-companies/?page=3
Crew AI,Enterprise Software,--,--,Data Intelligence,https://forgeglobal.com/search-companies/?page=56
CREXi,Real Estate,Series B,$40MM,Real Estate Software,https://forgeglobal.com/search-companies/?page=36
Cribl,Enterprise Software,Series E,$199.04MM,Cloud / Networking Infrastructure,https://forgeglobal.com/search-companies/?page=5
Crimson Education,Education,--,--,Other Education,https://forgeglobal.com/search-companies/?page=143
Cross River Bank,Fintech,Series D,$620MM,Digital Banking,https://forgeglobal.com/search-companies/?page=7
Crossbeam,Enterprise Software,Series R-3,$56.27MM,Communication & Collaboration Software,https://forgeglobal.com/search-companies/?page=48
Crossnokaye,Foodtech,Series C,$39.45MM,Other Foodtech,https://forgeglobal.com/search-companies/?page=96
Crossover Health,Healthcare,Series D,$168MM,Other Healthcare,https://forgeglobal.com/search-companies/?page=168
CrowdStreet,Real Estate,--,--,Real Estate Products & Services,https://forgeglobal.com/search-companies/?page=37
CrowdStrike,Enterprise Software,Series E-1,$50MM,Cybersecurity,https://forgeglobal.com/search-companies/?page=103
Cruise,Transportation,--,--,Autonomous Vehicles,https://forgeglobal.com/search-companies/?page=56
Crunchbase,Enterprise Software,Series D,$50MM,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=18
Crusoe,Energy,Series E,$1.37B,Energy Efficiency,https://forgeglobal.com/search-companies/?page=2
Crusoe,Energy,Series E,$1.37B,Energy Efficiency,https://forgeglobal.com/search-companies/?page=2
CRUX,Enterprise Software,--,--,Data Management / Storage,https://forgeglobal.com/search-companies/?page=99
Crypto.com,Fintech,--,--,Other Fintech,https://forgeglobal.com/search-companies/?page=28
Crystalys Therapeutics,Healthcare,Series A,$205MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=138
CSC Generation,Enterprise Software,Series D-1,$67.12MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=152
CTRL-Labs,Enterprise Software,--,--,Data Intelligence,https://forgeglobal.com/search-companies/?page=160
Cube,Enterprise Software,--,--,Data Intelligence,https://forgeglobal.com/search-companies/?page=62
CubicPV,Energy,Series Tandem A,$69.98MM,Energy Efficiency,https://forgeglobal.com/search-companies/?page=110
Cuby Technologies,Industrial,Series B-1,$11.45MM,Materials,https://forgeglobal.com/search-companies/?page=61
Cue Health,Healthcare,Series C-1,$100MM,Medical Devices,https://forgeglobal.com/search-companies/?page=120
Cullgen,Healthcare,Series C,$35MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=96
Culture,Healthcare,Series C-2,$20.52MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=175
CultureAmp,Enterprise Software,--,--,Data Intelligence,https://forgeglobal.com/search-companies/?page=99
Cumulus Networks,Enterprise Software,--,--,Cloud / Networking Infrastructure,https://forgeglobal.com/search-companies/?page=87
Curalate,Enterprise Software,--,--,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=112
Curated,Consumer & Lifestyle,Series C,$75MM,E-commerce,https://forgeglobal.com/search-companies/?page=133
Curative,Healthcare,Series A-7,$2.86MM,Healthcare Providers & Services,https://forgeglobal.com/search-companies/?page=97
Curbio,Real Estate,Series Seed-1,$5MM,Real Estate Products & Services,https://forgeglobal.com/search-companies/?page=125
Curology,Consumer & Lifestyle,Series D-1,$25MM,Clothing  Fashion  Beauty & Apparel,https://forgeglobal.com/search-companies/?page=53
Current,Fintech,Series D,$220MM,Personal Finance,https://forgeglobal.com/search-companies/?page=57
Cursor,Enterprise Software,--,--,Productivity,https://forgeglobal.com/search-companies/?page=24
Curve,Fintech,--,--,Digital Banking,https://forgeglobal.com/search-companies/?page=99
Customer.io,Enterprise Software,Series A-1,$80MM,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=54
CVRx,Healthcare,--,--,Other Healthcare,https://forgeglobal.com/search-companies/?page=126
Cyber Resilience,Enterprise Software,Series D,$100MM,Cybersecurity,https://forgeglobal.com/search-companies/?page=118
Cybereason,Enterprise Software,Series H,$120MM,Cybersecurity,https://forgeglobal.com/search-companies/?page=134
Cyberhaven,Enterprise Software,Series D,$100MM,Cybersecurity,https://forgeglobal.com/search-companies/?page=58
CyCognito,Enterprise Software,--,--,Cybersecurity,https://forgeglobal.com/search-companies/?page=99
Cyemptive,Enterprise Software,--,--,Cybersecurity,https://forgeglobal.com/search-companies/?page=126
Cyera,Enterprise Software,--,--,Cybersecurity,https://forgeglobal.com/search-companies/?page=24
Cyngn,Transportation,--,--,Autonomous Vehicles,https://forgeglobal.com/search-companies/?page=126
Cypress,Enterprise Software,Series B,$40MM,Software Development,https://forgeglobal.com/search-companies/?page=157
Cytek,Healthcare,--,--,Other Healthcare,https://forgeglobal.com/search-companies/?page=160
Cytonics,Healthcare,--,--,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=46
CytoVale,Healthcare,Series D,$101MM,Healthcare Providers & Services,https://forgeglobal.com/search-companies/?page=95
Cyware,Enterprise Software,--,--,Cybersecurity,https://forgeglobal.com/search-companies/?page=69
d-Matrix,Technology Hardware,Series C,$248.4MM,Computing Hardware,https://forgeglobal.com/search-companies/?page=10
D-Wave,Technology Hardware,--,--,Computing Hardware,https://forgeglobal.com/search-companies/?page=99
D2iQ,Enterprise Software,Series D,$131.25MM,Cloud / Networking Infrastructure,https://forgeglobal.com/search-companies/?page=82
Dagster Labs,Enterprise Software,--,--,Data Management / Storage,https://forgeglobal.com/search-companies/?page=50
Daily Harvest,Foodtech,Series 1,$19.58MM,Food Products & Services,https://forgeglobal.com/search-companies/?page=72
Dailyhunt,Consumer & Lifestyle,--,--,Social,https://forgeglobal.com/search-companies/?page=87
DailyPay,Fintech,Series D-1,$75.5MM,Payments,https://forgeglobal.com/search-companies/?page=12
Dandelion Energy,Energy,Series C,$40MM,Clean Energy,https://forgeglobal.com/search-companies/?page=61
Dandy,Healthcare,Series Seed-1,$2.63MM,Healthcare Providers & Services,https://forgeglobal.com/search-companies/?page=9
Dapper Labs,Consumer & Lifestyle,--,--,Gaming,https://forgeglobal.com/search-companies/?page=87
Daring Foods,Foodtech,Series C,$53MM,Animal-Free Protein,https://forgeglobal.com/search-companies/?page=172
Dashlane,Enterprise Software,Series D,$85MM,Cybersecurity,https://forgeglobal.com/search-companies/?page=106
DaSouChe,Consumer & Lifestyle,--,--,E-commerce,https://forgeglobal.com/search-companies/?page=127
data.ai,Enterprise Software,Series E,$48.1MM,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=74
data.world,Enterprise Software,Series E,$25MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=76
DataBank,Enterprise Software,--,--,Cloud / Networking Infrastructure,https://forgeglobal.com/search-companies/?page=41
Databook,Enterprise Software,Series B,$50MM,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=170
DataCamp,Education,--,--,Other Education,https://forgeglobal.com/search-companies/?page=143
DataDome,Enterprise Software,--,--,Cybersecurity,https://forgeglobal.com/search-companies/?page=56
DataGrail,Enterprise Software,--,--,Data Management / Storage,https://forgeglobal.com/search-companies/?page=99
Dataiku,Enterprise Software,Series E,$184.78MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=7
Datameer,Enterprise Software,Series II,$40MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=124
Dataminr,Enterprise Software,Series F,$475MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=5
DataRails,Fintech,--,--,Fintech Software,https://forgeglobal.com/search-companies/?page=56
DataRobot,Enterprise Software,Series G,$330MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=5
DataStax,Enterprise Software,Series F-2,$115MM,Data Management / Storage,https://forgeglobal.com/search-companies/?page=91
Datavant,Healthcare,--,--,Healthcare Software,https://forgeglobal.com/search-companies/?page=23
DataVault Holdings,Enterprise Software,--,--,Data Management / Storage,https://forgeglobal.com/search-companies/?page=144
DataVisor,Enterprise Software,Series F,$35.86MM,Cybersecurity,https://forgeglobal.com/search-companies/?page=123
Dave,Fintech,Series B-1,$50MM,Personal Finance,https://forgeglobal.com/search-companies/?page=91
David AI,Enterprise Software,Series B,$50MM,Communication & Collaboration Software,https://forgeglobal.com/search-companies/?page=135
Daybreak,Enterprise Software,Series A-1 Prime,$5.25MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=175
Dayforward,Fintech,--,--,Insurance,https://forgeglobal.com/search-companies/?page=160
dbt Labs,Enterprise Software,Series D,$222.82MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=16
DealMaker,Fintech,--,--,Fintech Software,https://forgeglobal.com/search-companies/?page=77
Dealpath,Real Estate,--,--,Real Estate Software,https://forgeglobal.com/search-companies/?page=62
Decagon,Enterprise Software,Series D,$250MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=8
Decart,Enterprise Software,Series A-1,$100MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=47
Dedrone,Industrial,Series C-1,$30MM,Aerospace & Defense,https://forgeglobal.com/search-companies/?page=121
Deel,Enterprise Software,Series E,$300MM,Human Resources,https://forgeglobal.com/search-companies/?page=14
Deep Infra,Enterprise Software,--,--,Cloud / Networking Infrastructure,https://forgeglobal.com/search-companies/?page=50
Deep Instinct,Enterprise Software,--,--,Cybersecurity,https://forgeglobal.com/search-companies/?page=62
DeepBrain AI,Enterprise Software,--,--,Productivity,https://forgeglobal.com/search-companies/?page=34
Deepgram,Enterprise Software,Series C-1,$125.76MM,Productivity,https://forgeglobal.com/search-companies/?page=53
DeepGreen Metals,Industrial,--,--,Materials,https://forgeglobal.com/search-companies/?page=87
DeepL,Enterprise Software,--,--,Data Intelligence,https://forgeglobal.com/search-companies/?page=21
DeepMap,Transportation,Series B,$68MM,Autonomous Vehicles,https://forgeglobal.com/search-companies/?page=171
DeepScribe,Healthcare,Series B,$24MM,Healthcare Software,https://forgeglobal.com/search-companies/?page=24
DeepSeek,Enterprise Software,,,Data Intelligence,https://forgeglobal.com/search-companies/?page=4
deepwatch,Enterprise Software,Series B-1,$71.63MM,Cybersecurity,https://forgeglobal.com/search-companies/?page=43
Defense Unicorns,Enterprise Software,Series B-1,$118.5MM,Business Operations,https://forgeglobal.com/search-companies/?page=133
Defined.ai,Enterprise Software,Series B-1,$15MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=137
Degreed,Education,Series D,$155.47MM,E-Learning,https://forgeglobal.com/search-companies/?page=72
Delfi Diagnostics,Healthcare,Series B,$225MM,Digital Health,https://forgeglobal.com/search-companies/?page=66
Deliveroo,Transportation,--,--,Delivery Services,https://forgeglobal.com/search-companies/?page=160
Deliverr,Industrial,--,--,Logistics,https://forgeglobal.com/search-companies/?page=127
Delphia,Fintech,--,--,Other Fintech,https://forgeglobal.com/search-companies/?page=160
Delphinus Medical Technologies,Healthcare,Series E,$5MM,Medical Devices,https://forgeglobal.com/search-companies/?page=157
Delphix,Enterprise Software,Series D,$75MM,Data Management / Storage,https://forgeglobal.com/search-companies/?page=39
DELV,Fintech,Series A,$32MM,Blockchain,https://forgeglobal.com/search-companies/?page=172
