Company_Name,Sector,Funding_round,Amount_raised,Sub-sector,Source Website
Acin,Enterprise Software,--,--,Data Intelligence,https://forgeglobal.com/search-companies/?page=175
Acorns,Fintech,Series G-F,$180.91MM,Personal Finance,https://forgeglobal.com/search-companies/?page=6
Acquia,Enterprise Software,Series G-1,$10.22MM,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=133
Acres Manufacturing,Consumer & Lifestyle,--,--,Entertainment,https://forgeglobal.com/search-companies/?page=175
AcreTrader,Real Estate,Series B-1,$21.49MM,Real Estate Products & Services,https://forgeglobal.com/search-companies/?page=74
Acrisure,Fintech,,,Insurance,https://forgeglobal.com/search-companies/?page=15
Acronis,Enterprise Software,--,--,Cybersecurity,https://forgeglobal.com/search-companies/?page=61
Act-On,Enterprise Software,Series F,$9.38MM,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=175
ActionIQ,Enterprise Software,Series C-1,$60.19MM,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=44
Activ Surgical,Healthcare,--,--,Healthcare Software,https://forgeglobal.com/search-companies/?page=45
ActiveCampaign,Enterprise Software,--,--,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=175
AcuityMD,Healthcare,Series C,$90MM,Healthcare Software,https://forgeglobal.com/search-companies/?page=105
Acutus Medical,Healthcare,--,--,Other Healthcare,https://forgeglobal.com/search-companies/?page=141
ACV Auctions,Consumer & Lifestyle,Series E-1,$55MM,E-commerce,https://forgeglobal.com/search-companies/?page=151
Ada,Enterprise Software,--,--,Business Operations,https://forgeglobal.com/search-companies/?page=98
Adaptive Biotechnologies,Healthcare,Series F-1,$45MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=117
ADARx Pharmaceuticals,Healthcare,Series C,$200MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=18
ADC Therapeutics,Healthcare,--,--,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=158
Addepar,Fintech,Series G,$230.71MM,Fintech Software,https://forgeglobal.com/search-companies/?page=4
Adept AI,Enterprise Software,Series B,$200MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=53
Adicet Bio,Healthcare,--,--,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=125
Adlai Nortye,Healthcare,--,--,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=158
ADM Labs,Healthcare,--,--,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=111
Adore Me,Consumer & Lifestyle,Series B,$42.43MM,Clothing  Fashion  Beauty & Apparel,https://forgeglobal.com/search-companies/?page=108
Aera Technology,Enterprise Software,Series 1,$53.54MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=67
Aera Therapeutics,Healthcare,--,--,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=37
Aerin Medical,Healthcare,Series G,$32.82MM,Medical Devices,https://forgeglobal.com/search-companies/?page=108
Aero,Consumer & Lifestyle,Series AA,$19.17MM,Consumer Applications,https://forgeglobal.com/search-companies/?page=68
Aeroseal,Industrial,--,--,Construction,https://forgeglobal.com/search-companies/?page=86
Aerospike,Enterprise Software,Series E,$48.35MM,Data Management / Storage,https://forgeglobal.com/search-companies/?page=67
Aescape,Industrial,Series A-1,$112.65MM,Robotics,https://forgeglobal.com/search-companies/?page=68
Aeternity,Fintech,--,--,Other Fintech,https://forgeglobal.com/search-companies/?page=158
Aetherflux,Energy,Series A,$50MM,Clean Energy,https://forgeglobal.com/search-companies/?page=21
Aetion,Healthcare,Series C,$110MM,Healthcare Providers & Services,https://forgeglobal.com/search-companies/?page=106
Aeva,Transportation,--,--,Autonomous Vehicles,https://forgeglobal.com/search-companies/?page=111
Afero,Enterprise Software,Series C,$49.62MM,Cloud / Networking Infrastructure,https://forgeglobal.com/search-companies/?page=85
Affectiva,Enterprise Software,--,--,Data Intelligence,https://forgeglobal.com/search-companies/?page=158
Affinia Therapeutics,Healthcare,Series C,$40MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=68
Affinity,Enterprise Software,Series C,$70MM,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=39
Affirm,Fintech,Series F,$300MM,Lending,https://forgeglobal.com/search-companies/?page=57
Affirmed,Enterprise Software,--,--,Cloud / Networking Infrastructure,https://forgeglobal.com/search-companies/?page=158
Afiniti,Enterprise Software,--,--,Data Intelligence,https://forgeglobal.com/search-companies/?page=76
Afresh,Industrial,Series B-2,$15.37MM,Logistics,https://forgeglobal.com/search-companies/?page=50
AG1,Foodtech,,,Food Products & Services,https://forgeglobal.com/search-companies/?page=12
Agari,Enterprise Software,Series E,$40.43MM,Cybersecurity,https://forgeglobal.com/search-companies/?page=123
Age of Learning,Education,Series C,$300MM,E-Learning,https://forgeglobal.com/search-companies/?page=80
AgentSync,Fintech,Series B,$75MM,Insurance,https://forgeglobal.com/search-companies/?page=53
Agile Robots,Industrial,--,--,Robotics,https://forgeglobal.com/search-companies/?page=37
Agility Robotics,Industrial,Series C-3,$400MM,Robotics,https://forgeglobal.com/search-companies/?page=7
Agora Data,Fintech,--,--,Lending,https://forgeglobal.com/search-companies/?page=125
AI Therapeutics,Healthcare,--,--,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=141
AI Unlimited Group,Enterprise Software,--,--,Data Intelligence,https://forgeglobal.com/search-companies/?page=125
AI21 Labs,Enterprise Software,--,--,Productivity,https://forgeglobal.com/search-companies/?page=40
AiDash,Enterprise Software,--,--,Data Intelligence,https://forgeglobal.com/search-companies/?page=111
AimLabs,Consumer & Lifestyle,Series 2,$10.33MM,Gaming,https://forgeglobal.com/search-companies/?page=110
Aimon AI,Enterprise Software,--,--,Software Development,https://forgeglobal.com/search-companies/?page=111
Aiolos Bio,Healthcare,Series A,$180MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=120
Air Company,Energy,Series B,$70MM,Clean Energy,https://forgeglobal.com/search-companies/?page=74
Air Space Intelligence,Industrial,Series C-1,$70MM,Logistics,https://forgeglobal.com/search-companies/?page=120
Airbase,Enterprise Software,Series B-1,$5MM,Business Operations,https://forgeglobal.com/search-companies/?page=59
Airbnb,Consumer & Lifestyle,Series F,$1B,Travel & Hospitality,https://forgeglobal.com/search-companies/?page=64
Airbyte,Enterprise Software,Series B,$150MM,Data Management / Storage,https://forgeglobal.com/search-companies/?page=58
Aircall,Enterprise Software,Series D,$100MM,Communication & Collaboration Software,https://forgeglobal.com/search-companies/?page=39
AirGarage,Transportation,--,--,Other Transportation,https://forgeglobal.com/search-companies/?page=141
Airkit.ai,Enterprise Software,--,--,Productivity,https://forgeglobal.com/search-companies/?page=125
AirMap,Industrial,Series C,$31.76MM,Industrial Software,https://forgeglobal.com/search-companies/?page=124
Airplane,Enterprise Software,--,--,Business Operations,https://forgeglobal.com/search-companies/?page=111
Airship,Enterprise Software,--,--,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=142
airSlate,Enterprise Software,Series B-4,$50MM,Productivity,https://forgeglobal.com/search-companies/?page=72
Airtable,Enterprise Software,Series F,$735MM,Communication & Collaboration Software,https://forgeglobal.com/search-companies/?page=4
Airwallex,Fintech,Series G,$330MM,Payments,https://forgeglobal.com/search-companies/?page=9
Airware,Industrial,Series A -1,$32.9MM,Industrial Software,https://forgeglobal.com/search-companies/?page=158
Airware (pre-spinoff),Industrial,Series C1,$3MM,Industrial Software,https://forgeglobal.com/search-companies/?page=124
Aisera,Enterprise Software,Series D-1,$30MM,Productivity,https://forgeglobal.com/search-companies/?page=44
AiTA,Healthcare,Series C,$10MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=138
Aiven,Enterprise Software,--,--,Cloud / Networking Infrastructure,https://forgeglobal.com/search-companies/?page=61
Aiwyn,Enterprise Software,Series B,$77.29MM,Business Operations,https://forgeglobal.com/search-companies/?page=54
Ajax Therapeutics,Healthcare,--,--,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=158
AKASA,Healthcare,Series C,$120MM,Healthcare Software,https://forgeglobal.com/search-companies/?page=43
Akash Systems,Technology Hardware,Series B,$50.16MM,Other Technology Hardware,https://forgeglobal.com/search-companies/?page=66
Akhan Semiconductor,Technology Hardware,Series A-1,$19.46MM,Computing Hardware,https://forgeglobal.com/search-companies/?page=76
Akido,Healthcare,Series B,$60MM,Healthcare Software,https://forgeglobal.com/search-companies/?page=28
Akili,Healthcare,Series D,$151.68MM,Digital Health,https://forgeglobal.com/search-companies/?page=171
Aktis Oncology,Healthcare,--,--,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=86
Akulaku,Fintech,--,--,Digital Banking,https://forgeglobal.com/search-companies/?page=61
Alamar Biosciences,Healthcare,Series C,$128.27MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=11
Alan,Fintech,--,--,Insurance,https://forgeglobal.com/search-companies/?page=98
Alation,Enterprise Software,Series E,$123MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=32
Albedo,Industrial,Series A Prime,$35MM,Aerospace & Defense,https://forgeglobal.com/search-companies/?page=97
Albert,Fintech,Series C,$100MM,Digital Banking,https://forgeglobal.com/search-companies/?page=16
Albert Invent,Enterprise Software,Series A-1,$20MM,Data Management / Storage,https://forgeglobal.com/search-companies/?page=40
Alchemy,Fintech,Series D,$200MM,Blockchain Software,https://forgeglobal.com/search-companies/?page=11
Aledade,Healthcare,Series F,$260MM,Healthcare Providers & Services,https://forgeglobal.com/search-companies/?page=31
Alef,Industrial,Series Seed-3,$790 503.00,Aerospace & Defense,https://forgeglobal.com/search-companies/?page=26
AlertMedia,Enterprise Software,--,--,Other Enterprise Software,https://forgeglobal.com/search-companies/?page=98
Alfred,Real Estate,Series 1,$36.78MM,Real Estate Products & Services,https://forgeglobal.com/search-companies/?page=110
Algolia,Enterprise Software,Series D,$150MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=23
Alianza,Enterprise Software,--,--,Cloud / Networking Infrastructure,https://forgeglobal.com/search-companies/?page=158
Alien Technology,Consumer & Lifestyle,--,--,Consumer Electronics,https://forgeglobal.com/search-companies/?page=111
Alif Semiconductor,Technology Hardware,Series D,$155MM,Computing Hardware,https://forgeglobal.com/search-companies/?page=58
AliveCor,Healthcare,Series F,$150MM,Medical Devices,https://forgeglobal.com/search-companies/?page=43
Alkami Technology,Fintech,Series F,$140MM,Fintech Software,https://forgeglobal.com/search-companies/?page=72
Alkira,Enterprise Software,Series C1,$70.21MM,Cloud / Networking Infrastructure,https://forgeglobal.com/search-companies/?page=120
Allbirds,Consumer & Lifestyle,Series E,$100MM,Clothing  Fashion  Beauty & Apparel,https://forgeglobal.com/search-companies/?page=71
Allen Control Systems,Industrial,--,--,Aerospace & Defense,https://forgeglobal.com/search-companies/?page=13
Alloplex Biotherapeutics,Healthcare,Series A,$20.67MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=173
Alloy,Fintech,Series C-1,$52MM,Fintech Software,https://forgeglobal.com/search-companies/?page=19
Alloy Therapeutics,Healthcare,Series D,$41.74MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=39
AllStripes,Healthcare,Series B,$50.3MM,Digital Health,https://forgeglobal.com/search-companies/?page=173
AllTrails,Consumer & Lifestyle,--,--,Consumer Applications,https://forgeglobal.com/search-companies/?page=41
Alltrna,Healthcare,--,--,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=142
Allurion Technologies,Healthcare,--,--,Other Healthcare,https://forgeglobal.com/search-companies/?page=142
Ally Technologies,Enterprise Software,--,--,Productivity,https://forgeglobal.com/search-companies/?page=98
Alma,Healthcare,Series D,$130MM,Digital Health,https://forgeglobal.com/search-companies/?page=92
Alpaca,Fintech,Series D,$148MM,Capital Markets,https://forgeglobal.com/search-companies/?page=6
Alphaeon,Healthcare,--,--,Healthcare Providers & Services,https://forgeglobal.com/search-companies/?page=86
AlphaSense,Enterprise Software,,,Sales & Marketing / Adtech,https://forgeglobal.com/search-companies/?page=9
Alpine Bio,Foodtech,Series B-2,$30.95MM,Animal-Free Protein,https://forgeglobal.com/search-companies/?page=124
Also,Transportation,Series C,$200MM,Other Transportation,https://forgeglobal.com/search-companies/?page=169
Alt,Fintech,Series B,$75.63MM,Capital Markets,https://forgeglobal.com/search-companies/?page=121
Altana AI,Enterprise Software,Series C,$221.4MM,Data Intelligence,https://forgeglobal.com/search-companies/?page=13
Altana Technologies,Technology Hardware,--,--,Other Technology Hardware,https://forgeglobal.com/search-companies/?page=111
Altarock Energy,Energy,--,--,Clean Energy,https://forgeglobal.com/search-companies/?page=98
Alter Learning,Education,--,--,Education Software,https://forgeglobal.com/search-companies/?page=125
Alterome Therapeutics,Healthcare,Series B,$132MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=95
Altierre,Enterprise Software,--,--,Cloud / Networking Infrastructure,https://forgeglobal.com/search-companies/?page=125
Altitude Learning,Education,Series C,$40MM,Other Education,https://forgeglobal.com/search-companies/?page=171
Alto,Fintech,Series B,$41MM,Capital Markets,https://forgeglobal.com/search-companies/?page=60
Alto Life,Consumer & Lifestyle,--,--,Other Consumer & Lifestyle,https://forgeglobal.com/search-companies/?page=175
Alto Neuroscience,Healthcare,Series C,$50.31MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=68
Alto Pharmacy,Healthcare,Series FF,$101.74MM,Digital Health,https://forgeglobal.com/search-companies/?page=73
Altos Labs,Healthcare,Series C,$1.5B,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=2
Altos Labs,Healthcare,Series C,$1.5B,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=2
Altruist,Fintech,Series F,$152MM,Capital Markets,https://forgeglobal.com/search-companies/?page=22
Alumis,Healthcare,Series C,$259MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=48
Alzheon,Healthcare,Series E,$100MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=58
Amagi,Consumer & Lifestyle,--,--,Media,https://forgeglobal.com/search-companies/?page=77
Ambience Healthcare,Healthcare,Series C,$210MM,Healthcare Software,https://forgeglobal.com/search-companies/?page=17
Ambiq,Technology Hardware,Series G,$92MM,Computing Hardware,https://forgeglobal.com/search-companies/?page=67
American Gene Technologies,Healthcare,Series F-1,$18MM,Biotech & Pharma,https://forgeglobal.com/search-companies/?page=105
American Well,Healthcare,Series C,$617MM,Digital Health,https://forgeglobal.com/search-companies/?page=105
Amino,Consumer & Lifestyle,--,--,Social,https://forgeglobal.com/search-companies/?page=98
